Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,0
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.691200e-06,-0.0004
-1.690800e-06,-0.0004
-1.690400e-06,-0.0004
-1.690000e-06,-0.0004
-1.689600e-06,-0.0004
-1.689200e-06,-0.0004
-1.688800e-06,-0.0004
-1.688400e-06,-0.0004
-1.688000e-06,-0.0004
-1.687600e-06,-0.0004
-1.687200e-06,-0.0004
-1.686800e-06,-0.0004
-1.686400e-06,-0.0004
-1.686000e-06,-0.0004
-1.685600e-06,-0.0008
-1.685200e-06,-0.0008
-1.684800e-06,-0.0004
-1.684400e-06,-0.0004
-1.684000e-06,-0.0004
-1.683600e-06,-0.0004
-1.683200e-06,-0.0004
-1.682800e-06,-0.0004
-1.682400e-06,-0.0004
-1.682000e-06,-0.0004
-1.681600e-06,-0.0008
-1.681200e-06,-0.0004
-1.680800e-06,-0.0004
-1.680400e-06,-0.0004
-1.680000e-06,-0.0004
-1.679600e-06,-0.0004
-1.679200e-06,-0.0004
-1.678800e-06,-0.0004
-1.678400e-06,-0.0004
-1.678000e-06,-0.0004
-1.677600e-06,-0.0004
-1.677200e-06,-0.0004
-1.676800e-06,-0.0004
-1.676400e-06,-0.0004
-1.676000e-06,-0.0004
-1.675600e-06,-0.0004
-1.675200e-06,-0.0004
-1.674800e-06,-0.0004
-1.674400e-06,-0.0004
-1.674000e-06,-0.0004
-1.673600e-06,-0.0008
-1.673200e-06,-0.0004
-1.672800e-06,-0.0004
-1.672400e-06,-0.0008
-1.672000e-06,-0.0004
-1.671600e-06,-0.0004
-1.671200e-06,-0.0004
-1.670800e-06,-0.0004
-1.670400e-06,-0.0004
-1.670000e-06,-0.0004
-1.669600e-06,-0.0004
-1.669200e-06,-0.0004
-1.668800e-06,-0.0004
-1.668400e-06,-0.0004
-1.668000e-06,-0.0004
-1.667600e-06,-0.0004
-1.667200e-06,-0.0008
-1.666800e-06,-0.0004
-1.666400e-06,-0.0004
-1.666000e-06,-0.0004
-1.665600e-06,-0.0004
-1.665200e-06,-0.0004
-1.664800e-06,-0.0004
-1.664400e-06,-0.0004
-1.664000e-06,-0.0004
-1.663600e-06,-0.0004
-1.663200e-06,-0.0004
-1.662800e-06,0
-1.662400e-06,-0.0004
-1.662000e-06,-0.0004
-1.661600e-06,-0.0004
-1.661200e-06,-0.0004
-1.660800e-06,-0.0004
-1.660400e-06,-0.0004
-1.660000e-06,0
-1.659600e-06,-0.0004
-1.659200e-06,-0.0004
-1.658800e-06,-0.0004
-1.658400e-06,-0.0004
-1.658000e-06,-0.0004
-1.657600e-06,-0.0004
-1.657200e-06,-0.0004
-1.656800e-06,-0.0004
-1.656400e-06,-0.0008
-1.656000e-06,-0.0008
-1.655600e-06,-0.0004
-1.655200e-06,-0.0004
